codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+0064,d,LATIN SMALL LETTER D,Ll,1372,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0065,e,LATIN SMALL LETTER E,Ll,6774,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0066,f,LATIN SMALL LETTER F,Ll,171,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0067,g,LATIN SMALL LETTER G,Ll,522,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0068,h,LATIN SMALL LETTER H,Ll,1342,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0069,i,LATIN SMALL LETTER I,Ll,3326,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006A,j,LATIN SMALL LETTER J,Ll,19,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006B,k,LATIN SMALL LETTER K,Ll,2831,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006C,l,LATIN SMALL LETTER L,Ll,2947,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006D,m,LATIN SMALL LETTER M,Ll,2305,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006E,n,LATIN SMALL LETTER N,Ll,4424,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+006F,o,LATIN SMALL LETTER O,Ll,6242,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0070,p,LATIN SMALL LETTER P,Ll,1070,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0071,q,LATIN SMALL LETTER Q,Ll,34,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0072,r,LATIN SMALL LETTER R,Ll,3915,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0073,s,LATIN SMALL LETTER S,Ll,4421,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0074,t,LATIN SMALL LETTER T,Ll,2972,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0075,u,LATIN SMALL LETTER U,Ll,1873,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0076,v,LATIN SMALL LETTER V,Ll,520,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0077,w,LATIN SMALL LETTER W,Ll,109,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0078,x,LATIN SMALL LETTER X,Ll,247,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0079,y,LATIN SMALL LETTER Y,Ll,1798,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+007A,z,LATIN SMALL LETTER Z,Ll,805,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+007B,{,LEFT CURLY BRACKET,Ps,10,STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+00A9,©,COPYRIGHT SIGN,So,58,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+00AE,®,REGISTERED SIGN,So,70,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+00B0,°,DEGREE SIGN,So,1,BRIEFING_NBE,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+00B7,·,MIDDLE DOT,Po,552,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE,Lu,2,BRIEFING_NBE | SLOT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE,Lu,6,BRIEFING_NBE | SLOT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00CD,Í,LATIN CAPITAL LETTER I WITH ACUTE,Lu,1,BRIEFING_NBE,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00D7,×,MULTIPLICATION SIGN,Sm,429,SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+00DA,Ú,LATIN CAPITAL LETTER U WITH ACUTE,Lu,5,SLOT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00E1,á,LATIN SMALL LETTER A WITH ACUTE,Ll,26,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00E8,è,LATIN SMALL LETTER E WITH GRAVE,Ll,13,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00E9,é,LATIN SMALL LETTER E WITH ACUTE,Ll,58,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00ED,í,LATIN SMALL LETTER I WITH ACUTE,Ll,19,BRIEFING_NBE,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00F3,ó,LATIN SMALL LETTER O WITH ACUTE,Ll,4,BRIEFING_NBE | SLOT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+00FA,ú,LATIN SMALL LETTER U WITH ACUTE,Ll,12,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON,Lu,1,BRIEFING_NBE,NO,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+2014,—,EM DASH,Pd,862,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+2018,‘,LEFT SINGLE QUOTATION MARK,Pi,148,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,NO,NO,YES,NO,UNKNOWN / UNION_REQUIRED
